Italian,English
e,and
non,not
che,that
di,of
la,there
il,the
a,to
per,for
è,and
in,in
una,a
mi,me
ho,i have
si,yes
ha,has
ma,but
lo,the
cosa,what
con,with
no,no
le,the
ti,you
se,self
da,from
come,how
io,i
ci,there
hai,you have
questo,this
bene,well
qui,here
sei,six
solo,alone
mio,my
al,to the
me,myself
tutto,everything
c',there
te,you
era,era
della,from the
mia,my
fatto,done
fare,do
essere,to be
so,so
quando,when
sì,yes
ora,now
lei,she
gli,the
ne,neither
questa,this
detto,said
ok,ok
va,it goes
perche,because
quello,that
mai,never
alla,at the
o,or
anche,also
stato,state
abbiamo,we have
tutti,all
dei,of the
grazie,thank you
chi,who
sta,is
molto,very
più,more
voglio,i want
perché,why
tuo,your
beh,well
sia,is
nel,in the
lui,he
allora,at that time
posso,i can
piu,more
ehi,hey
prima,first
tua,your
niente,nothing
qualcosa,something
sai,you know
siamo,are
un',a
cosi,as
davvero,really
ancora,still
hanno,they have
